"angle","gap","Re","hair1","hair2","hair3"
8.4438139,25.25,2.505,-0.00142439451999962,-0.00132606220431626,0.00167524166684598
12.497732,10.960581,2.505,-0.00170086629502475,-0.00353807628899813,0.000812541695777327
12.497732,25.25,1.0645111,-0.00160348431253806,-0.00151609947532415,0.00140881177969277
12.497732,25.25,2.505,-0.00172026290697977,-0.00183038630150259,0.00161843902338296
12.497732,25.25,3.9454889,-0.00175573338707909,-0.00197366472147405,0.00168794771586545
12.497732,39.539419,2.505,-0.00172278036456555,-0.000994631703943014,0.00088277749530971
20.2863,6.0787324,2.505,-0.00236812212504447,-0.0031386261517182,-0.000741604543407448
20.2863,10.960581,1.0645111,-0.00210009691072628,-0.00242569629102945,-6.65366458706557e-05
20.2863,10.960581,2.505,-0.00242408202402294,-0.00296695293858647,-3.5559693351388e-05
20.2863,10.960581,3.9454889,-0.0026205205116421,-0.00322639010846615,-1.46720627089963e-05
20.2863,25.25,0.57238131,-0.00200967527460307,-0.000963506568223238,0.000848608323372901
20.2863,25.25,1.0645111,-0.00213531068898737,-0.00115723505429924,0.000964337184093893
20.2863,25.25,2.505,-0.00245622240379453,-0.00141147243604064,0.00109119293559343
20.2863,25.25,3.9454889,-0.00265201562643051,-0.00150137239601463,0.00112455391185358
20.2863,25.25,4.4376187,-0.00270066725742072,-0.00151763263903558,0.00112875088816509
20.2863,39.539419,1.0645111,-0.00213975246995688,-0.000333003830164671,0.000704927277052776
20.2863,39.539419,2.505,-0.0024601765461266,-0.000399592764675617,0.00083496337197721
20.2863,39.539419,3.9454889,-0.0026558487508446,-0.000410973116755485,0.000884408786892891
20.2863,44.421268,2.505,-0.00246082822792232,-0.00105361057817936,0.000765921510756016
38.038476,3.9368763,2.505,-0.00263796767499298,-0.00398547522351146,-0.00335586006380618
38.038476,6.0787324,1.0645111,-0.00234075470315292,-0.00205629035248421,-0.00194023013301194
38.038476,6.0787324,2.505,-0.00276739944773726,-0.00268605483137071,-0.00231359720299952
38.038476,6.0787324,3.9454889,-0.00305303880572319,-0.00300736876949668,-0.00248997825814877
38.038476,10.960581,0.57238131,-0.00232362962048501,-0.00227829288376961,-0.000642789846286178
38.038476,10.960581,1.0645111,-0.00242270138394088,-0.00265358635038137,-0.000765281144529581
38.038476,10.960581,2.505,-0.00284703820326831,-0.00309082855656743,-0.0010039773080498
38.038476,10.960581,3.9454889,-0.00313341353484429,-0.00324651359859854,-0.00115156768448651
38.038476,10.960581,4.4376187,-0.00320497107412666,-0.00328077654633671,-0.00119000181742013
38.038476,16.835469,2.505,-0.00287570442771539,-0.00187445630133152,-0.000403934228233993
38.038476,25.25,0.3564649,-0.00239403952099383,-0.000761965535581112,0.00010093506751582
38.038476,25.25,0.57238131,-0.00237564709037542,-0.000841494478285313,0.00012558452738449
38.038476,25.25,1.0645111,-0.00246741443686187,-0.000943796932697296,0.000154256249312312
38.038476,25.25,1.6567473,-0.00265078080259263,-0.00100149046629667,0.000170353529741987
38.038476,25.25,2.505,-0.00288903336157091,-0.00103394963219762,0.000181058336864226
38.038476,25.25,3.3532527,-0.00307359512679977,-0.00104641642794013,0.000185679574729875
38.038476,25.25,3.9454889,-0.00317519263504073,-0.00104861162230372,0.000187113811960444
38.038476,25.25,4.4376187,-0.00324657640140504,-0.00104859237000346,0.000187648087623529
38.038476,25.25,4.6535351,-0.00327485623862594,-0.00104832896217704,0.000187740602646954
38.038476,33.664531,2.505,-0.00289360173768364,-0.00101478491723537,0.000408470623195172
38.038476,39.539419,0.57238131,-0.00238335390668362,-0.000551909666508436,0.000452081859111786
38.038476,39.539419,1.0645111,-0.00247407539654523,-0.000581612523645163,0.000507310681045056
38.038476,39.539419,2.505,-0.00289526354568079,-0.000575790081173182,0.000567662559449673
38.038476,39.539419,3.9454889,-0.00318139621824957,-0.000544280223548412,0.000586324691772461
38.038476,39.539419,4.4376187,-0.00325274631916545,-0.000533563151955605,0.000589362971484661
38.038476,44.421268,1.0645111,-0.00247504461463541,8.68564844131459e-06,0.000603102771565318
38.038476,44.421268,2.505,-0.0028961418455001,4.04952168464661e-05,0.000694055307656527
38.038476,44.421268,3.9454889,-0.00318228240543976,6.00837990641593e-05,0.000724049093201757
38.038476,46.563124,2.505,-0.00289644694514573,0.000488144064787775,0.000682055341079831
41.537762,25.25,2.505,-0.00363548270985484,-0.00108689890243113,-0.000136478074826301
59.401706,10.960581,2.505,-0.00431410178542137,-0.00146683613955974,-0.00320737749710679
59.401706,25.25,1.0645111,-0.00421705367043615,0.000692533100023866,-0.000744328707456589
59.401706,25.25,2.505,-0.00438140997290611,0.000825594812631607,-0.000918404524214566
59.401706,25.25,3.9454889,-0.00443702053837478,0.000912054724991322,-0.00101142569305375
59.401706,39.539419,2.505,-0.00439070388302207,0.000668417315930128,-0.000521948866546154
90,2.8220488,2.505,-0.00107226772978902,0.000421260602772235,-0.00217533016577363
90,3.9368763,1.0645111,-0.00106612709537148,0.000785175073891878,-0.00285854381322861
90,3.9368763,2.505,-0.00103328583389521,0.000911190871149302,-0.00295019529387355
90,3.9368763,3.9454889,-0.00098387398570776,0.00102260154113173,-0.00292007376253605
90,6.0787324,0.57238131,-0.00123208997026086,0.000670285016298294,-0.00205855620279908
90,6.0787324,1.0645111,-0.00117877377942204,0.000749217189848423,-0.00218931694608182
90,6.0787324,2.505,-0.00110882190987468,0.00082885778695345,-0.00231382603105158
90,6.0787324,3.9454889,-0.00104629930108786,0.000846702054142952,-0.00228531159600243
90,6.0787324,4.4376187,-0.00102818394452333,0.000847490198910236,-0.00226779492851347
90,10.960581,0.3564649,-0.00145200803503394,0.00125054828077555,-0.00174489074759185
90,10.960581,0.57238131,-0.00138492671400309,0.00141195461526513,-0.00193683549575508
90,10.960581,1.0645111,-0.00129582826420665,0.00159935608506203,-0.00218746599555016
90,10.960581,1.6567473,-0.00124629314243793,0.00170221275836229,-0.00232349136658013
90,10.960581,2.505,-0.00119650459289551,0.00176445891335607,-0.00238975347205997
90,10.960581,3.3532527,-0.00114934616535902,0.00178786021098495,-0.00239831100776792
90,10.960581,3.9454889,-0.00112253195792437,0.00178899380099028,-0.00238652622699738
90,10.960581,4.4376187,-0.00110191751271486,0.00178877648664638,-0.00237433050945401
90,10.960581,4.6535351,-0.00109328565001488,0.00178784264670685,-0.00236818884778768
90,11.922885,2.505,-0.00120336936414242,0.00192818934121169,-0.00246996077150106
90,16.835469,1.0645111,-0.00132600753381848,0.00199602320417762,-0.00191075721103698
90,16.835469,2.505,-0.00122023789957166,0.00219556857645512,-0.00213229728885926
90,16.835469,3.9454889,-0.00114342860132456,0.00223618148267269,-0.0021530729951337
90,25.25,0.24408128,-0.00154784709960222,0.00136539158597589,-0.00110386446025223
90,25.25,0.3564649,-0.0015142573043704,0.00148800184205174,-0.00122389016370289
90,25.25,0.57238131,-0.00143495910987258,0.0016553146764636,-0.00139081178675406
90,25.25,1.0645111,-0.00133591690286994,0.00188628580607474,-0.00162569481832907
90,25.25,1.1615191,-0.00132453019171953,0.00191868066415191,-0.0016585059966892
90,25.25,1.6567473,-0.00128166992589832,0.00204710635356605,-0.00178673098632134
90,25.25,2.505,-0.00122813080996275,0.00218414372950792,-0.00191636123135686
90,25.25,3.3532527,-0.00117845124751329,0.00226920126751065,-0.00199115369841456
90,25.25,3.8484809,-0.00115479811280966,0.00230612334609032,-0.00202120370231569
90,25.25,3.9454889,-0.00115036563575268,0.00231238014996052,-0.00202618655189872
90,25.25,4.4376187,-0.00112884935736656,0.00234063625708222,-0.00204810478538275
90,25.25,4.6535351,-0.00111985985934735,0.00235145164653659,-0.00205623600818217
90,25.25,4.7659187,-0.00111535787582397,0.00235676638782024,-0.00206016564369202
90,33.664531,1.0645111,-0.0013385910205543,0.00138840990600875,-0.00116590383648872
90,33.664531,2.505,-0.00123025855049491,0.00152685857750475,-0.001295709294267
90,33.664531,3.9454889,-0.00115223322808743,0.00156332964263856,-0.00130913729942404
90,38.577115,2.505,-0.00123086017370224,0.00133768472075462,-0.0016283895468805
90,39.539419,0.3564649,-0.00151960156857967,0.000902673928067088,-0.00067362983521889
90,39.539419,0.57238131,-0.00143929005041718,0.000976886929944158,-0.000760166759369895
90,39.539419,1.0645111,-0.00133945829421282,0.00107321219705045,-0.000872837249189615
90,39.539419,1.6567473,-0.00128481167927384,0.00113464563339949,-0.000938857062254101
90,39.539419,2.505,-0.00123095421865582,0.0011802558247,-0.00097814894572366
90,39.539419,3.3532527,-0.00118104910850525,0.00120354625023902,-0.00098964411765337
90,39.539419,3.9454889,-0.00115283745527267,0.00121188837848604,-0.000990286473417655
90,39.539419,4.4376187,-0.00113124039024114,0.00121671941876411,-0.000988316432223655
90,39.539419,4.6535351,-0.00112221020460129,0.00121824034117162,-0.000986968522076495
90,44.421268,0.57238131,-0.00144017037004232,0.00079541196860373,-0.000629367660498247
90,44.421268,1.0645111,-0.00133992008119822,0.000871432695537806,-0.000722940992505755
90,44.421268,2.505,-0.00123132406920195,0.000958816353231668,-0.00080933496542275
90,44.421268,3.9454889,-0.00115316392481327,0.000986985679715872,-0.000818097542971372
90,44.421268,4.4376187,-0.00113154976069927,0.000991711283102632,-0.000816104264929891
90,46.563124,1.0645111,-0.00134015179425478,0.000674826946109533,-0.000351417946163565
90,46.563124,2.505,-0.00123150951042771,0.000766644824296236,-0.000486665965698194
90,46.563124,3.9454889,-0.00115331426262856,0.000801819808781147,-0.00056006158143282
90,47.677951,2.505,-0.00123155326396227,0.000932492175139487,-0.000969030754640699
120.59829,10.960581,2.505,0.00272226651711389,0.00402763841301203,0.000709334447979929
120.59829,25.25,1.0645111,0.00197756409365684,0.00103323231078684,-0.00143941142922267
120.59829,25.25,2.505,0.0027611860553734,0.00116065642237663,-0.00157481901161373
120.59829,25.25,3.9454889,0.00313908761879429,0.00120374819356948,-0.00158438851218671
120.59829,39.539419,2.505,0.00276684707123786,0.000240128909936175,-0.00109006399288774
138.46224,25.25,2.505,0.00402137263328768,-0.000300464116968215,-0.000512133650481701
141.96152,3.9368763,2.505,0.00397518145106733,0.00307386679388583,0.00339616278372705
141.96152,6.0787324,1.0645111,0.0034822634793818,0.00290990600711666,0.00279597870260477
141.96152,6.0787324,2.505,0.00420731979981065,0.00336544378846884,0.00324376356508583
141.96152,6.0787324,3.9454889,0.00441763816261664,0.00353956869989634,0.00335890565614682
141.96152,10.960581,0.57238131,0.00289013761468232,0.00181670390255749,0.00191821073461324
141.96152,10.960581,1.0645111,0.00363024657592177,0.00201340386271477,0.00228673534211703
141.96152,10.960581,2.505,0.00433997434284538,0.00223431207239628,0.00274111790023744
141.96152,10.960581,3.9454889,0.00454159188084304,0.00230114786326885,0.00291915142908692
141.96152,10.960581,4.4376187,0.00457599265500903,0.00231185875274241,0.00295749097410589
141.96152,16.835469,2.505,0.00438520832266659,0.000823567433748394,0.00120308169163764
141.96152,25.25,0.3564649,0.00233972506411374,-0.00013031726423651,0.000120088679715991
141.96152,25.25,0.57238131,0.00296517999470234,-0.000151050246320665,0.00015341723896563
141.96152,25.25,1.0645111,0.0037015359736979,-0.000180840602144599,0.00020348129235208
141.96152,25.25,1.6567473,0.0041173346657306,-0.000200470356270671,0.000247427973896265
141.96152,25.25,2.505,0.00440386304724961,-0.000213891157880426,0.000293493719771504
141.96152,25.25,3.3532527,0.00454319037683308,-0.000218914985656738,0.000328658643178642
141.96152,25.25,3.9454889,0.00460122707020491,-0.000220102688297629,0.000348962392192334
141.96152,25.25,4.4376187,0.00463456848077476,-0.000220135767012835,0.000363487716531381
141.96152,25.25,4.6535351,0.00464578322321177,-0.000219960065558553,0.000369656800059602
141.96152,33.664531,2.505,0.0044096804484725,-0.000484829385764897,-0.000321362146176398
141.96152,39.539419,0.57238131,0.00297382992319763,-0.000643243768718093,-0.000573897745460272
141.96152,39.539419,1.0645111,0.00370989813096821,-0.000719457442988641,-0.000636131547391415
141.96152,39.539419,2.505,0.00441154684964567,-0.000788883517030627,-0.000677058916538954
141.96152,39.539419,3.9454889,0.00460844799969345,-0.000794792171567678,-0.000668192448094487
141.96152,39.539419,4.4376187,0.00464164676517248,-0.000792813505977392,-0.000662969751283526
141.96152,44.421268,1.0645111,0.0037110358029604,-0.00032046845369041,-0.000601499530486763
141.96152,44.421268,2.505,0.00441256561223418,-0.000420411107130348,-0.000611132672056556
141.96152,44.421268,3.9454889,0.00460941098444164,-0.00047582282172516,-0.000589381096884608
141.96152,46.563124,2.505,0.00441286339983344,-0.00120944067835808,-0.000413018979132176
159.7137,6.0787324,2.505,0.00384216586640105,0.0011859044842422,0.00406751466495916
159.7137,10.960581,1.0645111,0.00337219030945562,-0.00035124553181231,0.00358212977275252
159.7137,10.960581,2.505,0.00395694439858198,-0.000383088831789792,0.00408681911230087
159.7137,10.960581,3.9454889,0.00412895637704059,-0.000388661915436387,0.00425085109844804
159.7137,25.25,0.57238131,0.00280186520027928,-0.00156524088047445,0.00107135573774576
159.7137,25.25,1.0645111,0.00343575035501271,-0.00172197715193033,0.00122891966626048
159.7137,25.25,2.505,0.00401231484254822,-0.00186809641867876,0.00144671428576112
159.7137,25.25,3.9454889,0.0041809151484631,-0.00188826688844711,0.00156140467897058
159.7137,25.25,4.4376187,0.00420985813811421,-0.00188621408957988,0.00158970514312387
159.7137,39.539419,1.0645111,0.00344273558503482,-0.00107087096199393,0.000390538927167654
159.7137,39.539419,2.505,0.00401876541902311,-0.00127740729041398,0.000424913287162781
159.7137,39.539419,3.9454889,0.00418633286142722,-0.00137806126847863,0.000433882970362902
159.7137,44.421268,2.505,0.00401933540962636,-0.000848519049584866,0.000414019895717502
167.50227,10.960581,2.505,0.00248652451531962,-0.00136751931183971,0.00344096156582236
167.50227,25.25,1.0645111,0.00221599532151595,-0.00156558580021374,0.00134935477096587
167.50227,25.25,2.505,0.00252278433227912,-0.00188224694505334,0.00158462926931679
167.50227,25.25,3.9454889,0.00258646751334891,-0.00204621262103319,0.00167077303677797
167.50227,39.539419,2.505,0.0025259644286707,-0.00152258216962218,0.00049041074514389
171.55619,25.25,2.505,0.00182439339021221,-0.00217594998516142,0.00213469914952293
